objid,ra,dec,u,g,r,i,z,redshift,redshift_err
1.23766E+18,17.31095596,-0.295717545,23.5676,22.58577,22.19303,21.61828,21.13271,1.047649,0.000133463
1.23766E+18,26.79273015,-0.705725222,23.01402,22.54019,21.88043,21.97747,22.69413,1.179691,0.000126991
1.23766E+18,17.32518285,-1.112709887,23.67303,23.31216,22.68556,22.09943,21.33559,1.011398,9.39E-05
1.23766E+18,10.83686029,-1.23439125,22.56853,21.95332,21.54915,20.83245,20.76439,1.005827,7.69E-05
1.23766E+18,322.5165464,0.515259881,23.07204,22.57472,22.19297,21.57508,21.3428,1.06424,9.86E-05
1.23766E+18,322.7510249,-0.214696817,23.3475,22.30545,21.65015,21.23087,20.47097,1.013713,8.14E-05
1.23766E+18,322.5232732,-0.304823944,22.7984,22.70197,22.16905,22.13004,21.0604,1.213577,0.000111386
1.23766E+18,343.3199671,0.756021038,24.06672,23.08123,22.119,22.42834,21.97838,1.118094,9.08E-05
1.23766E+18,173.406886,41.0335572,24.70069,23.53055,21.84348,20.70887,19.72289,1.01013,0.000243785
1.23766E+18,215.1587691,54.25264874,22.8801,22.38856,22.39467,22.07208,22.42392,1.138544,8.26E-05
1.23766E+18,215.1621009,54.28479438,22.70167,22.23636,21.96916,21.44436,21.40365,1.135376,9.74E-05
1.23766E+18,133.4811197,28.80334729,23.77184,22.99605,23.00508,21.94493,21.49433,1.062501,8.78E-05
1.23766E+18,133.4806669,31.47874833,22.32187,22.01031,21.36285,20.82202,20.31916,1.012522,6.29E-05
1.23766E+18,251.0903719,32.62813998,25.31922,23.7365,22.23002,21.18387,19.9771,1.064,0.000126916
1.23766E+18,220.2852053,55.22236409,22.40129,23.44427,21.89564,20.73914,19.80682,1.025655,0.000363293
1.23766E+18,190.9414088,52.97524825,24.82272,21.84881,21.80118,20.76261,19.94652,1.445386,0.000368679
1.23765E+18,142.3582343,53.54601411,22.46065,24.33159,21.49047,20.45451,19.30685,1.016572,0.000268899
1.23766E+18,355.5145731,-0.849349302,23.40572,22.46181,21.97164,21.69075,20.71457,1.117699,0.000102903
1.23766E+18,34.985859,-0.512018165,22.66255,22.60752,22.10172,21.70069,21.19631,1.177235,8.54E-05
1.23766E+18,359.7164154,0.656982161,22.3782,22.48674,21.7894,21.45151,20.99066,1.125695,0.000134184
1.23766E+18,359.7206242,0.712069294,23.08009,22.26397,21.71302,21.77222,20.30939,1.226999,0.000158765
1.23766E+18,168.7126038,57.53411429,26.50175,22.84768,21.42295,20.41346,19.57864,1.109909,0.000203118
1.23766E+18,133.4997716,38.73860243,22.83575,23.30491,22.14002,20.77653,19.79292,1.038769,0.000297881
1.23766E+18,136.421958,31.92907601,22.17427,21.92378,21.51921,21.19578,20.49835,1.007209,7.25E-05
1.23766E+18,215.109457,54.14653364,23.30253,23.06727,21.55162,22.95418,22.50471,1.178377,4.68E-05
1.23767E+18,149.0195099,28.27064102,22.36258,22.47836,21.7034,21.06732,20.78382,1.034077,0.000133254
1.23767E+18,153.6482232,26.77587403,22.26263,22.29569,21.66153,20.9481,20.49928,1.009218,0.000117018
1.23767E+18,161.8491824,25.3412422,23.41879,22.87824,22.15987,21.67055,21.85427,1.067403,0.000138428
1.23767E+18,148.9953628,22.25095914,22.72149,22.67887,22.26837,22.17025,22.10578,1.05773,6.25E-05
1.23767E+18,165.1005056,24.19433787,22.93139,22.48341,22.13618,21.51713,21.32048,1.066529,0.000145927
1.23767E+18,165.101394,24.26893223,22.20787,21.99424,21.54256,20.80029,20.37712,1.011788,0.000112768
1.23767E+18,165.1150548,24.78358068,23.01744,22.58616,22.05515,21.66184,21.76384,1.216453,0.000109149
1.23768E+18,34.97971004,-4.240487736,23.53625,22.71234,21.92473,21.98223,20.73191,1.06448,8.88E-05
1.23768E+18,357.433703,18.26193155,22.95465,22.81639,21.45517,20.36876,19.43914,1.036939,0.000136739
1.23768E+18,34.95014841,-5.647168597,23.46789,21.86923,21.32805,21.56032,20.60466,1.084089,0.000141316
1.23768E+18,17.74955832,-2.703514585,24.67826,22.64727,22.55169,22.01039,21.30087,1.045022,0.000139269
1.23768E+18,34.96266167,-3.429027647,22.57057,22.40507,22.12692,22.76237,22.37235,1.14804,0.00010285
1.23768E+18,26.9153778,-4.184283127,22.08083,22.56919,21.96091,21.79523,21.02013,1.066175,8.98E-05
1.23768E+18,22.7198014,-4.337161035,23.22082,22.0827,21.74265,20.97003,20.24869,1.04062,0.000192343
1.23768E+18,35.02037831,-4.312422987,22.86221,23.07447,22.09887,21.9438,22.65066,1.051546,0.000129855
1.23768E+18,35.00016224,-4.287807194,23.7914,22.66317,22.24393,23.23943,22.49281,1.255634,0.000134301
1.23768E+18,15.41354761,-4.867277933,24.76042,23.39235,22.30725,21.99302,21.72863,1.138941,9.01E-05
1.23768E+18,40.97717925,-4.318352287,22.04716,22.17861,21.79845,21.73547,20.83802,1.103341,0.000129052
1.23768E+18,32.41523595,-4.753103389,22.1392,21.9268,21.77357,20.90109,20.81892,1.00145,8.59E-05
